x,y,theta
1.461,3.413,2
0.938278,4.23901,2.28127
0.0873692,4.95215,2.50604
-0.393297,5.22792,2.88021
-1.30531,5.08569,-2.77034
-2.31303,4.90754,3.12652
-3.32092,5.09385,2.7556
-4.17734,5.60024,2.37289
-4.64031,6.4087,2.07736
-5.0011,7.22043,2.19696
-5.71491,7.89184,2.57646
-6.75256,8.28714,2.91487
-7.71133,8.34029,-3.08349
-8.60156,8.32043,-3.07101
-9.51961,8.34614,-3.04228
