x,y,theta
-5.21934,8.02803,2.3369
-5.26143,8.07079,2.35988
-5.30451,8.11256,2.38377
-5.32635,8.13312,2.39042
-5.37044,8.17382,2.40282
-5.41142,8.2105,2.42126
-5.45312,8.24636,2.44152
-5.49922,8.28476,2.45281
-5.52243,8.30377,2.45821
-5.56915,8.34141,2.47004
-5.6126,8.37513,2.49299
-5.63657,8.39316,2.49985
-5.68484,8.4288,2.51154
-5.73353,8.46386,2.52402
-5.78266,8.4983,2.53847
-5.80331,8.5124,2.5472
-5.85324,8.54567,2.55948
-5.90374,8.57807,2.58171
-5.95476,8.60964,2.59643
-5.98051,8.62504,2.60896
-6.03238,8.6552,2.62133
-6.08478,8.68442,2.64492
-6.1379,8.71231,2.66828
-6.16469,8.72581,2.68125
-6.21875,8.75185,2.70464
-6.26882,8.77461,2.72561
-6.31932,8.7964,2.74006
-6.34698,8.80801,2.74868
-6.40263,8.83042,2.77007
-6.45881,8.85149,2.79425
-6.51547,8.87124,2.81842
-6.54398,8.88057,2.83307
-6.59656,8.89669,2.85464
-6.63984,8.90903,2.87253
-6.69299,8.92315,2.89201
-6.72211,8.93037,2.90519
-6.78061,8.94369,2.93034
-6.83941,8.95564,2.95163
-6.89844,8.9664,2.97148
-6.95275,8.97505,2.99507
-6.98245,8.97925,3.00796
-7.03704,8.98596,3.02973
-7.09669,8.99245,3.0339
-7.15641,8.99825,3.05849
-7.18133,9.00022,3.06649
-7.24118,9.00445,3.07126
-7.30103,9.00866,3.07086
-7.35593,9.01198,3.08901
-7.38589,9.01359,3.08767
-7.4458,9.01678,3.08712
-7.50072,9.01974,3.09067
-7.56067,9.02217,3.1082
-7.61564,9.02403,3.10726
-7.67061,9.02592,3.10687
-7.73058,9.02792,3.10872
-7.76056,9.02889,3.10903
-7.81553,9.03068,3.10875
-7.8755,9.03267,3.10761
-7.90548,9.03368,3.10959
-7.96545,9.03563,3.10851
-8.02542,9.03759,3.1093
-8.08538,9.03967,3.10557
-8.11536,9.04077,3.10541
-8.16532,9.04258,3.10503
-8.22528,9.04479,3.10341
-8.28024,9.0469,3.10231
-8.34019,9.04927,3.10261
-8.37017,9.05044,3.10254
-8.42513,9.0526,3.10252
-8.48508,9.05501,3.10089
-8.54503,9.05746,3.10052
-8.57501,9.05867,3.10177
-8.63497,9.061,3.10341
-8.68993,9.06317,3.1015
-8.74988,9.06558,3.10071
-8.77486,9.0666,3.10067
-8.82981,9.06891,3.09909
-8.88476,9.07122,3.09924
-8.93971,9.07353,3.09926
-8.99965,9.07614,3.09894
-9.05461,9.07825,3.10505
-9.11456,9.08055,3.10149
-9.14454,9.08176,3.10088
-9.20449,9.08421,3.10037
-9.25945,9.08643,3.10037
-9.3194,9.08881,3.10511
-9.34938,9.08983,3.11066
-9.40935,9.0917,3.10983
-9.46932,9.09351,3.11241
-9.5243,9.09509,3.11271
-9.56929,9.0964,3.11349
-9.59927,9.09727,3.11192
-9.65925,9.09908,3.1111
-9.71922,9.10086,3.11166
-9.74921,9.1018,3.1086
-9.80917,9.1039,3.10565
-9.86914,9.10602,3.10676
-9.89912,9.10706,3.10693
-9.95908,9.10917,3.10547
-10.014,9.11124,3.10407
-10.074,9.1134,3.10696
-10.104,9.11443,3.1079
-10.164,9.11652,3.10625
-10.2239,9.11858,3.10709
-10.2789,9.12056,3.10455
-10.3089,9.12167,3.10477
-10.3638,9.12367,3.10545
-10.4088,9.12529,3.10555
-10.4486,9.12679,3.10209
-10.4601,9.12725,3.10182
-10.4668,9.12751,3.10218
